日付,商品名,数量
2026-05-04,苺ショートケーキ,18
2026-05-04,食パン,72
2026-05-04,クロワッサン,35
2026-05-04,あんぱん,31
2026-05-04,水ようかん,13
2026-05-04,季節のタルト,9
2026-05-05,どら焼き,42
2026-05-05,豆大福,34
2026-05-05,カステラ,10
2026-05-05,シュークリーム,59
2026-05-05,プリン,22
2026-05-05,苺ショートケーキ,23
2026-05-05,食パン,67
2026-05-05,クロワッサン,34
2026-05-05,あんぱん,31
2026-05-05,水ようかん,16
2026-05-05,抹茶ラテ(店内),5
2026-05-05,季節のタルト,13
2026-05-06,どら焼き,42
2026-05-06,豆大福,36
2026-05-06,カステラ,14
2026-05-06,シュークリーム,59
2026-05-06,プリン,25
2026-05-06,苺ショートケーキ,21
2026-05-06,食パン,55
2026-05-06,クロワッサン,38
2026-05-06,あんぱん,30
2026-05-06,水ようかん,13
2026-05-06,抹茶ラテ(店内),10
2026-05-06,季節のタルト,10
2026-05-07,どら焼き,37
2026-05-07,豆大福,34
2026-05-07,カステラ,12
2026-05-07,シュークリーム,58
2026-05-07,プリン,33
2026-05-07,苺ショートケーキ,15
2026-05-07,食パン,59
2026-05-07,クロワッサン,33
2026-05-07,あんぱん,28
2026-05-07,水ようかん,19
2026-05-07,抹茶ラテ(店内),10
2026-05-07,季節のタルト,8
2026-05-08,どら焼き,40
2026-05-08,豆大福,35
2026-05-08,カステラ,9
2026-05-08,シュークリーム,48
2026-05-08,プリン,24
2026-05-08,苺ショートケーキ,29
2026-05-08,食パン,72
2026-05-08,クロワッサン,37
2026-05-08,あんぱん,27
2026-05-08,水ようかん,17
2026-05-08,抹茶ラテ(店内),5
2026-05-08,季節のタルト,12
2026-05-09,どら焼き,62
2026-05-09,豆大福,40
2026-05-09,カステラ,23
2026-05-09,シュークリーム,79
2026-05-09,プリン,36
2026-05-09,苺ショートケーキ,34
2026-05-09,食パン,63
2026-05-09,クロワッサン,55
2026-05-09,あんぱん,34
2026-05-09,水ようかん,19
2026-05-09,季節のタルト,19
2026-05-10,どら焼き,72
2026-05-10,豆大福,42
2026-05-10,カステラ,17
2026-05-10,シュークリーム,90
2026-05-10,プリン,40
2026-05-10,食パン,70
2026-05-10,クロワッサン,59
2026-05-10,あんぱん,36
2026-05-10,水ようかん,25
2026-05-10,季節のタルト,23
2026-05-11,どら焼き,46
2026-05-11,豆大福,24
2026-05-11,カステラ,12
2026-05-11,シュークリーム,43
2026-05-11,プリン,28
2026-05-11,苺ショートケーキ,17
2026-05-11,食パン,79
2026-05-11,クロワッサン,32
2026-05-11,あんぱん,23
2026-05-11,水ようかん,17
2026-05-11,抹茶ラテ(店内),8
2026-05-11,季節のタルト,8
2026-05-12,どら焼き,45
2026-05-12,豆大福,37
2026-05-12,カステラ,14
2026-05-12,シュークリーム,43
2026-05-12,プリン,36
2026-05-12,苺ショートケーキ,17
2026-05-12,食パン,65
2026-05-12,クロワッサン,39
2026-05-12,あんぱん,36
2026-05-12,抹茶ラテ(店内),8
2026-05-12,季節のタルト,10
2026-05-13,どら焼き,51
2026-05-13,豆大福,36
2026-05-13,カステラ,16
2026-05-13,シュークリーム,33
2026-05-13,プリン,32
2026-05-13,苺ショートケーキ,27
2026-05-13,食パン,62
2026-05-13,クロワッサン,43
2026-05-13,あんぱん,28
2026-05-13,水ようかん,18
2026-05-13,抹茶ラテ(店内),13
2026-05-13,季節のタルト,9
2026-05-14,どら焼き,47
2026-05-14,豆大福,26
2026-05-14,カステラ,12
2026-05-14,シュークリーム,34
2026-05-14,プリン,32
2026-05-14,苺ショートケーキ,16
2026-05-14,食パン,67
2026-05-14,クロワッサン,35
2026-05-14,あんぱん,39
2026-05-14,水ようかん,17
2026-05-14,抹茶ラテ(店内),11
2026-05-14,季節のタルト,8
2026-05-15,どら焼き,41
2026-05-15,豆大福,39
2026-05-15,カステラ,8
2026-05-15,シュークリーム,56
2026-05-15,プリン,38
2026-05-15,苺ショートケーキ,12
2026-05-15,食パン,62
2026-05-15,クロワッサン,37
2026-05-15,あんぱん,29
2026-05-15,水ようかん,14
2026-05-15,抹茶ラテ(店内),7
2026-05-15,季節のタルト,11
2026-05-16,どら焼き,73
2026-05-16,豆大福,41
2026-05-16,カステラ,23
2026-05-16,シュークリーム,74
2026-05-16,プリン,40
2026-05-16,苺ショートケーキ,43
2026-05-16,食パン,67
2026-05-16,クロワッサン,61
2026-05-16,あんぱん,35
2026-05-16,水ようかん,25
2026-05-17,どら焼き,61
2026-05-17,豆大福,48
2026-05-17,カステラ,19
2026-05-17,シュークリーム,75
2026-05-17,プリン,43
2026-05-17,苺ショートケーキ,37
2026-05-17,食パン,49
2026-05-17,クロワッサン,51
2026-05-17,あんぱん,32
2026-05-17,水ようかん,25
2026-05-17,季節のタルト,19
2026-05-18,どら焼き,43
2026-05-18,豆大福,26
2026-05-18,カステラ,12
2026-05-18,シュークリーム,49
2026-05-18,プリン,35
2026-05-18,食パン,53
2026-05-18,クロワッサン,42
2026-05-18,あんぱん,25
2026-05-18,水ようかん,13
2026-05-18,抹茶ラテ(店内),13
2026-05-18,季節のタルト,10
2026-05-19,どら焼き,35
2026-05-19,豆大福,33
2026-05-19,カステラ,17
2026-05-19,シュークリーム,43
2026-05-19,プリン,38
2026-05-19,苺ショートケーキ,19
2026-05-19,食パン,49
2026-05-19,クロワッサン,25
2026-05-19,あんぱん,32
2026-05-19,水ようかん,19
2026-05-19,抹茶ラテ(店内),9
2026-05-20,どら焼き,49
2026-05-20,豆大福,32
2026-05-20,カステラ,10
2026-05-20,シュークリーム,54
2026-05-20,プリン,24
2026-05-20,苺ショートケーキ,15
2026-05-20,食パン,69
2026-05-20,クロワッサン,44
2026-05-20,あんぱん,27
2026-05-20,抹茶ラテ(店内),10
2026-05-20,季節のタルト,10
2026-05-21,どら焼き,45
2026-05-21,豆大福,28
2026-05-21,シュークリーム,47
2026-05-21,プリン,27
2026-05-21,苺ショートケーキ,18
2026-05-21,食パン,57
2026-05-21,クロワッサン,38
2026-05-21,あんぱん,34
2026-05-21,水ようかん,16
2026-05-21,抹茶ラテ(店内),10
2026-05-21,季節のタルト,12
2026-05-22,どら焼き,35
2026-05-22,豆大福,35
2026-05-22,カステラ,13
2026-05-22,シュークリーム,55
2026-05-22,プリン,31
2026-05-22,苺ショートケーキ,21
2026-05-22,食パン,54
2026-05-22,クロワッサン,43
2026-05-22,あんぱん,24
2026-05-22,水ようかん,20
2026-05-22,抹茶ラテ(店内),10
2026-05-22,季節のタルト,12
2026-05-23,どら焼き,56
2026-05-23,豆大福,59
2026-05-23,カステラ,20
2026-05-23,シュークリーム,75
2026-05-23,プリン,33
2026-05-23,苺ショートケーキ,44
2026-05-23,食パン,54
2026-05-23,クロワッサン,48
2026-05-23,あんぱん,23
2026-05-23,水ようかん,22
2026-05-23,抹茶ラテ(店内),11
2026-05-23,季節のタルト,20
2026-05-24,どら焼き,65
2026-05-24,豆大福,41
2026-05-24,カステラ,21
2026-05-24,シュークリーム,96
2026-05-24,プリン,54
2026-05-24,苺ショートケーキ,44
2026-05-24,食パン,44
2026-05-24,クロワッサン,50
2026-05-24,あんぱん,35
2026-05-24,水ようかん,22
2026-05-24,抹茶ラテ(店内),12
2026-05-24,季節のタルト,19
2026-05-25,どら焼き,36
2026-05-25,豆大福,39
2026-05-25,カステラ,12
2026-05-25,シュークリーム,42
2026-05-25,プリン,30
2026-05-25,苺ショートケーキ,20
2026-05-25,食パン,48
2026-05-25,クロワッサン,35
2026-05-25,あんぱん,22
2026-05-25,水ようかん,19
2026-05-25,抹茶ラテ(店内),9
2026-05-26,どら焼き,43
2026-05-26,豆大福,42
2026-05-26,カステラ,16
2026-05-26,シュークリーム,44
2026-05-26,プリン,32
2026-05-26,苺ショートケーキ,15
2026-05-26,食パン,66
2026-05-26,クロワッサン,37
2026-05-26,あんぱん,26
2026-05-26,水ようかん,15
2026-05-26,抹茶ラテ(店内),9
2026-05-26,季節のタルト,11
2026-05-27,どら焼き,45
2026-05-27,豆大福,34
2026-05-27,カステラ,15
2026-05-27,シュークリーム,48
2026-05-27,プリン,31
2026-05-27,苺ショートケーキ,17
2026-05-27,食パン,55
2026-05-27,クロワッサン,36
2026-05-27,あんぱん,20
2026-05-27,水ようかん,17
2026-05-27,抹茶ラテ(店内),9
2026-05-27,季節のタルト,10
2026-05-28,どら焼き,55
2026-05-28,豆大福,27
2026-05-28,カステラ,11
2026-05-28,シュークリーム,56
2026-05-28,プリン,25
2026-05-28,苺ショートケーキ,18
2026-05-28,食パン,74
2026-05-28,クロワッサン,40
2026-05-28,あんぱん,31
2026-05-28,水ようかん,13
2026-05-28,季節のタルト,11
2026-05-29,どら焼き,35
2026-05-29,豆大福,27
2026-05-29,カステラ,11
2026-05-29,シュークリーム,46
2026-05-29,プリン,29
2026-05-29,苺ショートケーキ,20
2026-05-29,食パン,73
2026-05-29,クロワッサン,45
2026-05-29,あんぱん,21
2026-05-29,水ようかん,16
2026-05-29,抹茶ラテ(店内),9
2026-05-30,どら焼き,63
2026-05-30,豆大福,45
2026-05-30,カステラ,24
2026-05-30,シュークリーム,84
2026-05-30,プリン,32
2026-05-30,苺ショートケーキ,44
2026-05-30,食パン,78
2026-05-30,クロワッサン,52
2026-05-30,あんぱん,33
2026-05-30,水ようかん,26
2026-05-30,抹茶ラテ(店内),13
2026-05-30,季節のタルト,18
2026-05-31,どら焼き,88
2026-05-31,豆大福,49
2026-05-31,カステラ,19
2026-05-31,シュークリーム,86
2026-05-31,プリン,49
2026-05-31,苺ショートケーキ,39
2026-05-31,食パン,53
2026-05-31,クロワッサン,52
2026-05-31,あんぱん,37
2026-05-31,水ようかん,24
2026-05-31,抹茶ラテ(店内),15
2026-05-31,季節のタルト,19
2026-06-01,どら焼き,47
2026-06-01,豆大福,32
2026-06-01,カステラ,12
2026-06-01,シュークリーム,72
2026-06-01,プリン,23
2026-06-01,苺ショートケーキ,21
2026-06-01,食パン,55
2026-06-01,クロワッサン,37
2026-06-01,あんぱん,22
2026-06-01,水ようかん,16
2026-06-01,抹茶ラテ(店内),11
2026-06-01,季節のタルト,11
2026-06-02,どら焼き,40
2026-06-02,豆大福,38
2026-06-02,カステラ,12
2026-06-02,シュークリーム,64
2026-06-02,プリン,31
2026-06-02,苺ショートケーキ,15
2026-06-02,食パン,65
2026-06-02,クロワッサン,32
2026-06-02,あんぱん,28
2026-06-02,水ようかん,16
2026-06-02,抹茶ラテ(店内),13
2026-06-02,季節のタルト,9
2026-06-03,どら焼き,39
2026-06-03,豆大福,35
2026-06-03,カステラ,13
2026-06-03,シュークリーム,61
2026-06-03,プリン,38
2026-06-03,食パン,66
2026-06-03,クロワッサン,45
2026-06-03,あんぱん,35
2026-06-03,水ようかん,22
2026-06-03,抹茶ラテ(店内),10
2026-06-03,季節のタルト,12
2026-06-04,どら焼き,37
2026-06-04,豆大福,36
2026-06-04,カステラ,11
2026-06-04,シュークリーム,39
2026-06-04,プリン,33
2026-06-04,苺ショートケーキ,21
2026-06-04,食パン,55
2026-06-04,クロワッサン,26
2026-06-04,あんぱん,30
2026-06-04,水ようかん,17
2026-06-04,抹茶ラテ(店内),11
2026-06-04,季節のタルト,12
2026-06-05,どら焼き,44
2026-06-05,豆大福,24
2026-06-05,カステラ,15
2026-06-05,シュークリーム,58
2026-06-05,プリン,23
2026-06-05,苺ショートケーキ,22
2026-06-05,食パン,48
2026-06-05,クロワッサン,41
2026-06-05,あんぱん,35
2026-06-05,水ようかん,19
2026-06-05,抹茶ラテ(店内),11
2026-06-06,どら焼き,62
2026-06-06,豆大福,40
2026-06-06,カステラ,20
2026-06-06,シュークリーム,80
2026-06-06,プリン,31
2026-06-06,苺ショートケーキ,36
2026-06-06,食パン,66
2026-06-06,クロワッサン,63
2026-06-06,あんぱん,38
2026-06-06,水ようかん,27
2026-06-06,抹茶ラテ(店内),14
2026-06-06,季節のタルト,25
2026-06-07,どら焼き,61
2026-06-07,豆大福,51
2026-06-07,カステラ,19
2026-06-07,シュークリーム,87
2026-06-07,プリン,28
2026-06-07,食パン,67
2026-06-07,クロワッサン,53
2026-06-07,あんぱん,28
2026-06-07,水ようかん,25
2026-06-07,抹茶ラテ(店内),12
2026-06-07,季節のタルト,19
2026-06-08,どら焼き,41
2026-06-08,豆大福,38
2026-06-08,カステラ,14
2026-06-08,シュークリーム,41
2026-06-08,プリン,35
2026-06-08,苺ショートケーキ,16
2026-06-08,食パン,59
2026-06-08,クロワッサン,25
2026-06-08,あんぱん,24
2026-06-08,水ようかん,18
2026-06-08,抹茶ラテ(店内),9
2026-06-09,どら焼き,31
2026-06-09,豆大福,40
2026-06-09,カステラ,18
2026-06-09,シュークリーム,49
2026-06-09,プリン,28
2026-06-09,苺ショートケーキ,19
2026-06-09,食パン,82
2026-06-09,クロワッサン,38
2026-06-09,あんぱん,25
2026-06-09,水ようかん,15
2026-06-09,抹茶ラテ(店内),9
2026-06-09,季節のタルト,8
2026-06-10,どら焼き,42
2026-06-10,豆大福,39
2026-06-10,カステラ,15
2026-06-10,シュークリーム,48
2026-06-10,プリン,31
2026-06-10,苺ショートケーキ,17
2026-06-10,食パン,63
2026-06-10,クロワッサン,41
2026-06-10,あんぱん,24
2026-06-10,水ようかん,14
2026-06-10,抹茶ラテ(店内),10
2026-06-10,季節のタルト,11
2026-06-11,どら焼き,45
2026-06-11,豆大福,36
2026-06-11,カステラ,12
2026-06-11,シュークリーム,53
2026-06-11,プリン,31
2026-06-11,苺ショートケーキ,21
2026-06-11,食パン,54
2026-06-11,クロワッサン,39
2026-06-11,あんぱん,35
2026-06-11,水ようかん,13
2026-06-11,抹茶ラテ(店内),10
2026-06-11,季節のタルト,12
2026-06-12,どら焼き,56
2026-06-12,豆大福,39
2026-06-12,カステラ,13
2026-06-12,シュークリーム,59
2026-06-12,プリン,22
2026-06-12,食パン,71
2026-06-12,クロワッサン,29
2026-06-12,あんぱん,29
2026-06-12,抹茶ラテ(店内),12
2026-06-12,季節のタルト,14
2026-06-13,どら焼き,72
2026-06-13,豆大福,45
2026-06-13,カステラ,19
2026-06-13,シュークリーム,90
2026-06-13,プリン,42
2026-06-13,苺ショートケーキ,37
2026-06-13,食パン,63
2026-06-13,クロワッサン,51
2026-06-13,あんぱん,39
2026-06-13,水ようかん,25
2026-06-13,抹茶ラテ(店内),11
2026-06-14,どら焼き,66
2026-06-14,豆大福,40
2026-06-14,カステラ,19
2026-06-14,シュークリーム,88
2026-06-14,プリン,42
2026-06-14,苺ショートケーキ,43
2026-06-14,食パン,76
2026-06-14,クロワッサン,59
2026-06-14,あんぱん,43
2026-06-14,水ようかん,26
2026-06-14,季節のタルト,19
2026-06-15,どら焼き,49
2026-06-15,豆大福,35
2026-06-15,カステラ,13
2026-06-15,シュークリーム,50
2026-06-15,プリン,27
2026-06-15,苺ショートケーキ,20
2026-06-15,食パン,63
2026-06-15,クロワッサン,44
2026-06-15,あんぱん,35
2026-06-15,水ようかん,14
2026-06-15,抹茶ラテ(店内),8
2026-06-15,季節のタルト,11
2026-06-16,どら焼き,43
2026-06-16,豆大福,42
2026-06-16,カステラ,16
2026-06-16,シュークリーム,59
2026-06-16,プリン,33
2026-06-16,苺ショートケーキ,21
2026-06-16,食パン,53
2026-06-16,クロワッサン,39
2026-06-16,あんぱん,32
2026-06-16,水ようかん,17
2026-06-16,抹茶ラテ(店内),9
2026-06-16,季節のタルト,10
2026-06-17,どら焼き,49
2026-06-17,豆大福,33
2026-06-17,カステラ,14
2026-06-17,シュークリーム,39
2026-06-17,プリン,30
2026-06-17,苺ショートケーキ,26
2026-06-17,食パン,61
2026-06-17,クロワッサン,24
2026-06-17,あんぱん,30
2026-06-17,水ようかん,18
2026-06-17,季節のタルト,12
2026-06-18,どら焼き,62
2026-06-18,豆大福,40
2026-06-18,カステラ,19
2026-06-18,シュークリーム,51
2026-06-18,プリン,30
2026-06-18,苺ショートケーキ,26
2026-06-18,食パン,69
2026-06-18,クロワッサン,37
2026-06-18,あんぱん,24
2026-06-18,水ようかん,21
2026-06-18,季節のタルト,12
2026-06-19,どら焼き,33
2026-06-19,豆大福,30
2026-06-19,カステラ,8
2026-06-19,シュークリーム,60
2026-06-19,プリン,45
2026-06-19,苺ショートケーキ,19
2026-06-19,食パン,73
2026-06-19,クロワッサン,38
2026-06-19,あんぱん,35
2026-06-19,水ようかん,17
2026-06-19,抹茶ラテ(店内),11
2026-06-19,季節のタルト,12
2026-06-20,どら焼き,59
2026-06-20,豆大福,55
2026-06-20,カステラ,19
2026-06-20,シュークリーム,94
2026-06-20,プリン,40
2026-06-20,苺ショートケーキ,43
2026-06-20,食パン,73
2026-06-20,クロワッサン,62
2026-06-20,あんぱん,32
2026-06-20,水ようかん,28
2026-06-20,抹茶ラテ(店内),17
2026-06-20,季節のタルト,20
2026-06-21,どら焼き,60
2026-06-21,豆大福,44
2026-06-21,カステラ,24
2026-06-21,シュークリーム,105
2026-06-21,プリン,37
2026-06-21,苺ショートケーキ,41
2026-06-21,食パン,68
2026-06-21,クロワッサン,56
2026-06-21,あんぱん,34
2026-06-21,水ようかん,28
2026-06-21,季節のタルト,22
2026-06-22,どら焼き,45
2026-06-22,豆大福,32
2026-06-22,カステラ,15
2026-06-22,シュークリーム,45
2026-06-22,プリン,35
2026-06-22,苺ショートケーキ,21
2026-06-22,食パン,50
2026-06-22,クロワッサン,43
2026-06-22,あんぱん,25
2026-06-22,水ようかん,17
2026-06-22,季節のタルト,13
2026-06-23,どら焼き,35
2026-06-23,豆大福,43
2026-06-23,カステラ,15
2026-06-23,シュークリーム,54
2026-06-23,プリン,31
2026-06-23,苺ショートケーキ,20
2026-06-23,食パン,50
2026-06-23,クロワッサン,30
2026-06-23,あんぱん,26
2026-06-23,抹茶ラテ(店内),11
2026-06-23,季節のタルト,14
2026-06-24,どら焼き,44
2026-06-24,豆大福,37
2026-06-24,カステラ,13
2026-06-24,シュークリーム,45
2026-06-24,プリン,38
2026-06-24,苺ショートケーキ,21
2026-06-24,食パン,56
2026-06-24,クロワッサン,42
2026-06-24,あんぱん,27
2026-06-24,季節のタルト,10
2026-06-25,どら焼き,46
2026-06-25,豆大福,30
2026-06-25,カステラ,13
2026-06-25,シュークリーム,48
2026-06-25,プリン,35
2026-06-25,苺ショートケーキ,18
2026-06-25,食パン,55
2026-06-25,クロワッサン,38
2026-06-25,あんぱん,29
2026-06-25,抹茶ラテ(店内),7
2026-06-25,季節のタルト,13
2026-06-26,どら焼き,41
2026-06-26,豆大福,36
2026-06-26,カステラ,11
2026-06-26,シュークリーム,34
2026-06-26,プリン,33
2026-06-26,苺ショートケーキ,24
2026-06-26,食パン,53
2026-06-26,クロワッサン,40
2026-06-26,あんぱん,23
2026-06-26,水ようかん,17
2026-06-26,抹茶ラテ(店内),9
2026-06-26,季節のタルト,11
2026-06-27,どら焼き,61
2026-06-27,豆大福,31
2026-06-27,カステラ,24
2026-06-27,シュークリーム,86
2026-06-27,プリン,52
2026-06-27,苺ショートケーキ,38
2026-06-27,食パン,75
2026-06-27,クロワッサン,41
2026-06-27,あんぱん,38
2026-06-27,水ようかん,22
2026-06-27,抹茶ラテ(店内),13
2026-06-28,どら焼き,66
2026-06-28,豆大福,35
2026-06-28,カステラ,23
2026-06-28,シュークリーム,91
2026-06-28,プリン,37
2026-06-28,苺ショートケーキ,42
2026-06-28,食パン,76
2026-06-28,クロワッサン,54
2026-06-28,あんぱん,35
2026-06-28,水ようかん,25
2026-06-28,抹茶ラテ(店内),13
2026-06-28,季節のタルト,23
2026-06-29,どら焼き,56
2026-06-29,豆大福,35
2026-06-29,カステラ,10
2026-06-29,シュークリーム,52
2026-06-29,プリン,41
2026-06-29,苺ショートケーキ,27
2026-06-29,食パン,61
2026-06-29,クロワッサン,43
2026-06-29,あんぱん,31
2026-06-29,水ようかん,22
2026-06-29,抹茶ラテ(店内),12
2026-06-29,季節のタルト,8
2026-06-30,どら焼き,40
2026-06-30,豆大福,40
2026-06-30,カステラ,14
2026-06-30,シュークリーム,50
2026-06-30,プリン,34
2026-06-30,苺ショートケーキ,18
2026-06-30,食パン,60
2026-06-30,クロワッサン,33
2026-06-30,あんぱん,28
2026-06-30,抹茶ラテ(店内),9
2026-06-30,季節のタルト,13
2026-07-01,どら焼き,56
2026-07-01,豆大福,40
2026-07-01,カステラ,17
2026-07-01,シュークリーム,49
2026-07-01,プリン,37
2026-07-01,苺ショートケーキ,26
2026-07-01,食パン,58
2026-07-01,クロワッサン,37
2026-07-01,あんぱん,34
2026-07-01,水ようかん,17
2026-07-01,抹茶ラテ(店内),10
2026-07-01,季節のタルト,11
2026-07-02,どら焼き,43
2026-07-02,豆大福,29
2026-07-02,カステラ,19
2026-07-02,シュークリーム,46
2026-07-02,プリン,35
2026-07-02,苺ショートケーキ,18
2026-07-02,食パン,46
2026-07-02,クロワッサン,29
2026-07-02,あんぱん,29
2026-07-02,水ようかん,15
2026-07-02,抹茶ラテ(店内),8
